Test_ID,attention_score
TST-0278,1.3894748124535823
TST-0006,1.2290627329235682
TST-0047,1.9857159373028472
TST-0311,1.3652650519274279
TST-0264,1.1150077764382629
TST-0169,1.4989387835947579
TST-0269,1.3518043417263748
TST-0178,6.437235905188832
TST-0206,3.6285714162585854
TST-0038,1.5308752541197288
TST-0213,4.649849623304366
TST-0309,1.7130025965066913
TST-0059,1.3617332662467092
TST-0159,1.2284919051705114
TST-0235,1.3259955994059798
TST-0230,1.435187297584428
TST-0323,1.8217837055688462
TST-0262,1.4922888303257376
TST-0274,1.518431484139139
TST-0214,1.9424645810469883
TST-0024,1.5350957220828412
TST-0234,2.384376884375882
TST-0333,1.5571790955657843
TST-0060,1.3998282281961694
TST-0226,1.6248566497600962
TST-0197,1.5634052689088946
TST-0346,2.6507798395497906
TST-0192,1.8097784479206533
TST-0141,1.6610145100526723
TST-0222,3.5894590073554866
TST-0232,1.6036118996771431
TST-0085,1.3632248757551024
TST-0237,1.576599910161234
TST-0001,1.4129740102013182
TST-0069,1.99863611957871
TST-0272,1.846390800794058
TST-0343,1.7276438973561072
TST-0320,1.6110556335275101
TST-0008,1.5170001162303093
TST-0144,1.5969994451684841
TST-0184,1.4266581767373174
TST-0107,1.850666445585424
TST-0026,1.4434325470852531
TST-0164,1.5923863294074476
TST-0217,1.649739370914566
TST-0332,3.615146441895988
TST-0279,1.376959943083363
TST-0243,1.5501604133270672
TST-0163,0.9298985910475661
TST-0131,1.6782387194839852
TST-0070,1.9345391337024749
TST-0137,1.0385087653398302
TST-0210,1.4147980976547205
TST-0288,1.6695386569888715
TST-0248,1.6100321058758407
TST-0277,2.1229299669968063
TST-0215,1.4030742908651779
TST-0138,1.5397108202405003
TST-0228,1.2507021040685011
TST-0252,1.4218398346821592
TST-0205,1.78305066322666
TST-0348,1.070889534918341
TST-0177,1.573437565505631
TST-0267,1.428844851082655
TST-0308,1.5073580591491866
TST-0087,2.1625057241456727
TST-0117,1.4003454977512233
TST-0014,1.519642651712651
TST-0154,1.5782399242975136
TST-0207,1.6761571777385598
TST-0187,1.4147112700477709
TST-0236,1.2730244526640535
TST-0283,2.0295530545987615
TST-0089,1.3169849920531238
TST-0202,1.44423179340908
TST-0160,1.6435059600165567
TST-0036,1.25395875673203
TST-0275,1.8506546775553427
TST-0023,1.4375234727579362
TST-0091,1.4448986063469689
TST-0151,1.4699659787371113
TST-0310,1.566439091298062
TST-0239,1.8443918920438518
TST-0331,1.298854714536887
TST-0316,7.938610012128848
TST-0338,1.5918813737444306
TST-0019,1.2964642671172948
TST-0168,1.719425579416674
TST-0007,1.3921761374920982
TST-0211,1.5537901423479203
TST-0016,3.227588390457652
TST-0027,1.7497566801962958
TST-0031,1.3182712802167176
TST-0249,1.2749269094788394
TST-0011,1.4391198437583201
TST-0080,1.7629910078164903
TST-0121,2.7790891438424854
TST-0266,1.4777790095000958
TST-0198,1.5890297694168498
TST-0067,1.5050986391551855
TST-0102,1.8487283330006845
TST-0005,1.7378914405039545
TST-0003,1.4590784698288237
TST-0132,1.6271802399797894
TST-0029,1.1940521886643154
TST-0221,1.668705725384948
TST-0099,1.4489685887897454
TST-0062,1.4648172883331565
TST-0095,1.2620700933385107
TST-0126,2.46098696242437
TST-0034,1.4185033645986531
TST-0103,1.4854024450880068
TST-0245,1.2023356154541598
TST-0058,1.7236719982636362
TST-0065,1.0596756647396899
TST-0086,1.4561095471439809
TST-0342,1.6644949928539687
TST-0335,1.37511523564213
TST-0180,8.298261142736585
TST-0294,1.0771054648456844
TST-0072,1.5530345251117812
TST-0315,1.4229233366837646
TST-0182,1.5735132848560958
TST-0200,1.5026943887536615
TST-0030,1.3947820290309614
TST-0193,1.1833859587802906
TST-0231,1.4673906477674379
TST-0128,1.560723511980564
TST-0165,1.4190765805449341
TST-0074,1.7036398366038792
TST-0004,1.1866577400415441
TST-0157,1.496722286435622
TST-0143,1.1822060614316654
TST-0179,1.5486532250531158
TST-0075,1.7668775239246728
TST-0233,1.624289383996547
TST-0111,0.9118116194888096
TST-0350,1.4288286297344306
TST-0122,1.3022359718841072
TST-0076,1.4724311668618342
TST-0304,1.306173269425495
TST-0190,1.5341825296723322
TST-0061,1.59342219157171
TST-0009,1.6030169855590182
TST-0194,1.761664843434874
TST-0156,3.715309519177451
TST-0088,2.50952174150692
TST-0256,1.4653986445125138
TST-0329,1.5574542800177311
TST-0219,1.5362234317413428
TST-0306,1.5023358339510098
TST-0324,1.5302760898322396
TST-0113,1.4951870556655908
TST-0135,1.493504684529372
TST-0339,1.579634249684967
TST-0260,1.179076604348651
